,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
1139,西安,西安数拓网络科技有限公司,数拓科技,2018-04-18,2111530,Python工程师,5k-10k,10000,5000,491,18,普通
1140,深圳,深圳市揽智品牌营销策划有限公司,美会说-深圳分公司,2018-05-02,1179455,Python,10K-16K,16000,10000,272,19,普通
1141,上海,拉扎斯网络科技（上海）有限公司,饿了么,2018-05-02,3826052,资深Python工程师,18k-25k,25000,18000,684,22,高级
1142,深圳,深圳市库瑞德科技有限公司,聚客软件,2018-04-26,4123475,Python/Django工程师,10k-20k,20000,10000,552,19,普通
1143,广州,广州医昊网络科技有限公司,医昊网络,2018-04-25,4143884,python工程师,6k-10k,10000,6000,308,12,普通
1144,上海,八维宏烨(上海)信息科技有限公司,八维宏烨教育,2018-04-23,4252872,python讲师,20k-30k,30000,20000,847,22,普通
1145,深圳,深圳市编玩边学教育科技有限公司,编玩边学,2018-05-04,4487303,python课程设计师/课程编辑/课程研发,7k-12k,12000,7000,427,19,普通
1146,北京,北京陌陌科技有限公司,陌陌,2018-05-04,4044852,Python开发工程师(风控开发方向),20k-40k,40000,20000,464,20,普通
1147,上海,北京融康惠众健康管理有限公司,融康惠众,2018-05-03,4352894,Python工程师,8k-15k,15000,8000,392,22,普通
1148,上海,上海云深网络技术有限公司,云深网络,2018-05-02,4064689,Python开发工程师,7k-14k,14000,7000,1092,22,普通
1149,重庆,重庆维普资讯有限公司,维普资讯,2018-05-02,3750787,python研发工程师,8k-10k,10000,8000,348,9,普通
1150,上海,上海叠念信息科技有限公司,叠念信息,2018-04-18,3971497,Python开发工程师,7k-12k,12000,7000,154,22,普通
1151,北京,北京云英传奇技术有限公司,CloudIn,2018-04-11,4235942,Python工程师,8k-16k,16000,8000,968,20,普通
1152,杭州,杭州沃趣科技股份有限公司,沃趣科技,2018/05/06,3796778,Python开发（CRM）,6k-8k,8000,6000,548,21,普通
